metodo,tipo,modelo,prompt,total_questoes,stop,non_stop,qtd_demo_errado,linhas_demo_errado,mensagens_demo_errado,total_acertos,percentual_acerto,missing_empty_columns
S0,PRE,phi-4,dn,112,112,0,0,[],[],0,0.0,
S1,PRE,phi-4,dn,112,112,0,0,[],[],2,1.7857142857142856,
S2,PRE,phi-4,dn,112,111,1,0,[],[],14,12.5,
S3,PRE,phi-4,dn,112,112,0,0,[],[],2,1.7857142857142856,
S5,PRE,phi-4,dn,112,112,0,0,[],[],5,4.464285714285714,
C0,PRE,phi-4,dn,112,111,1,1,[98],"['Demonstração do teorema errado. A fórmula provada foi: Ax P(x), Ax Q(x) |- Ax (P(x)&Q(x)), porém deveria ser: Ax B(x)&Ax C(x) |- Ax (B(x)&C(x)).']",0,0.0,
C1,PRE,phi-4,dn,112,112,0,9,"[5, 41, 60, 82, 83, 84, 85, 98, 105]","['Demonstração do teorema errado. A fórmula provada foi: Ex P(x), Ax (P(x)->Q(x)) |- Ex Q(x), porém deveria ser: Ex B(x), Ax (B(x)->C(x)) |- Ex C(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (H(x)|M(x)), Ax (H(x)->P(x)), Ax (M(x)->P(x)) |- Ax P(x), porém deveria ser: Ax (B(x)|C(x)), Ax (B(x)->D(x)), Ax (C(x)->D(x)) |- Ax D(x).', 'Demonstração do teorema errado. A fórmula provada foi: |- P(x)->(P(x)|Q(x)), porém deveria ser: |- B(x)->(B(x)|C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ex P(x), Ax (P(x)->Q) |- Q, porém deveria ser: Ex B(x), Ax (B(x)->C) |- C.', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)&Q(x)) |- Ax Q(x), porém deveria ser: Ax (B(x)&C(x)) |- Ax C(x).', 'Demonstração do teorema errado. A fórmula provada foi: P&Ax Q(x) |- Ax (P&Q(x)), porém deveria ser: B&Ax C(x) |- Ax (B&C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)->Q(x)), Ax P(x) |- Ax Q(x), porém deveria ser: Ax (B(x)->C(x))&Ax B(x) |- Ax C(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax P(x), Ax Q(x) |- Ax (P(x)&Q(x)), porém deveria ser: Ax B(x)&Ax C(x) |- Ax (B(x)&C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P->Q(x)) |- P->Ax Q(x), porém deveria ser: Ax (B->C(x)) |- B->Ax C(x).']",0,0.0,
C2,PRE,phi-4,dn,112,111,1,21,"[4, 9, 10, 40, 41, 42, 48, 49, 55, 72, 74, 82, 83, 84, 85, 86, 87, 90, 96, 98, 105]","['Demonstração do teorema errado. A fórmula provada foi: |- Ax P(x)->(Ax ~Q(x)->Ax (P(x)&~Q(x))), porém deveria ser: |- Ax B(x)->(Ax ~C(x)->Ax (B(x)&~C(x))).', 'Demonstração do teorema errado. A fórmula provada foi: Ax ~(P(x)&~Q(x)), Ax ~Q(x) |- Ax ~P(x), porém deveria ser: Ax ~(B(x)&~C(x)), Ax ~C(x) |- Ax ~B(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)->R(x)), Ax ~R(x) |- Ax ~P(x), porém deveria ser: Ax (B(x)->C(x)), Ax ~C(x) |- Ax ~B(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (H(x)->M(x)), Ax (M(x)->P(x)) |- Ax (H(x)->P(x)), porém deveria ser: Ax (B(x)->C(x)), Ax (C(x)->D(x)) |- Ax (B(x)->D(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (H(x)|M(x)), Ax (H(x)->P(x)), Ax (M(x)->P(x)) |- Ax P(x), porém deveria ser: Ax (B(x)|C(x)), Ax (B(x)->D(x)), Ax (C(x)->D(x)) |- Ax D(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (H(x)->M(x)) |- Ax (~M(x)->~H(x)), porém deveria ser: Ax (B(x)->C(x)) |- Ax (~C(x)->~B(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (H(x)&M(x)), ~Ex ~H(x) |- Ax M(x), porém deveria ser: Ax (B(x)&C(x)), ~Ex ~B(x) |- Ax C(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (H(x)&M(x)), Ax ~H(x) |- Ax M(x), porém deveria ser: Ax (B(x)&C(x)), Ax ~B(x) |- Ax C(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P->Q(x)), P |- Ax Q(x), porém deveria ser: Ax (B->C(x)), B |- Ax C(x).', 'Demonstração do teorema errado. A fórmula provada foi: |- (Ax P(x)|Ax Q(x))->Ax (P(x)|Q(x)), porém deveria ser: |- (Ax B(x)|Ax C(x))->Ax (B(x)|C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)->Q(x)), Ax P(x) |- Ax Q(x), porém deveria ser: Ax (B(x)->C(x)), Ax B(x) |- Ax C(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ex P(x), Ax (P(x)->Q) |- Q, porém deveria ser: Ex B(x), Ax (B(x)->C) |- C.', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)&Q(x)) |- Ax Q(x), porém deveria ser: Ax (B(x)&C(x)) |- Ax C(x).', 'Demonstração do teorema errado. A fórmula provada foi: P&Ax Q(x) |- Ax (P&Q(x)), porém deveria ser: B&Ax C(x) |- Ax (B&C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)->Q(x)), Ax P(x) |- Ax Q(x), porém deveria ser: Ax (B(x)->C(x))&Ax B(x) |- Ax C(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax P(x) |- Ax (P(x)|Q(x)), porém deveria ser: Ax B(x) |- Ax (B(x)|C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)&Q) |- Ax P(x), porém deveria ser: Ax (B(x)&C) |- Ax B(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax ((P(x)->Q(x))&(Q(x)->P(x))) |- Ax (P(x)->Q(x)), porém deveria ser: Ax ((B(x)->C(x))&(C(x)->B(x))) |- Ax (B(x)->C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)->(Q(x)&R(x))) |- Ax (P(x)->Q(x)), porém deveria ser: Ax (B(x)->(C(x)&D(x))) |- Ax (B(x)->C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax P(x), Ax Q(x) |- Ax (P(x)&Q(x)), porém deveria ser: Ax B(x)&Ax C(x) |- Ax (B(x)&C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P->Q(x)) |- P->Ax Q(x), porém deveria ser: Ax (B->C(x)) |- B->Ax C(x).']",0,0.0,
C3,PRE,phi-4,dn,112,112,0,3,"[84, 96, 105]","['Demonstração do teorema errado. A fórmula provada foi: P&Ax Q(x) |- Ax (P&Q(x)), porém deveria ser: B&Ax C(x) |- Ax (B&C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)->(Q(x)&R(x))) |- Ax (P(x)->Q(x)), porém deveria ser: Ax (B(x)->(C(x)&D(x))) |- Ax (B(x)->C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P->Q(x)) |- P->Ax Q(x), porém deveria ser: Ax (B->C(x)) |- B->Ax C(x).']",0,0.0,
C5,PRE,phi-4,dn,112,112,0,14,"[5, 10, 30, 37, 39, 41, 53, 60, 76, 79, 80, 82, 93, 98]","['Demonstração do teorema errado. A fórmula provada foi: Ex P(x), Ax (P(x)->Q(x)) |- Ex Q(x), porém deveria ser: Ex B(x), Ax (B(x)->C(x)) |- Ex C(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)->R(x)), Ax ~R(x) |- Ax ~P(x), porém deveria ser: Ax (B(x)->C(x)), Ax ~C(x) |- Ax ~B(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (Q(x)->R(x)), Ex (P(x)&Q(x)) |- Ex (P(x)&R(x)), porém deveria ser: Ax (B(x)->C(x)), Ex (D(x)&B(x)) |- Ex (D(x)&C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ax ~(H(x)&~M(x)), Ex ~M(x) |- Ex ~H(x), porém deveria ser: Ax ~(B(x)&~C(x)), Ex ~C(x) |- Ex ~B(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (H(x)|M(x)), Ex ~H(x) |- Ex M(x), porém deveria ser: Ax (B(x)|C(x)), Ex ~B(x) |- Ex C(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax (H(x)|M(x)), Ax (H(x)->P(x)), Ax (M(x)->P(x)) |- Ax P(x), porém deveria ser: Ax (B(x)|C(x)), Ax (B(x)->D(x)), Ax (C(x)->D(x)) |- Ax D(x).', 'Demonstração do teorema errado. A fórmula provada foi: (P(a)->Q(a))&Ax (P(x)->Q(x)) |- P(b)->Q(b), porém deveria ser: (B(a)->C(a))&Ax (B(x)->C(x)) |- B(b)->C(b).', 'Demonstração do teorema errado. A fórmula provada foi: |- P(x)->(P(x)|Q(x)), porém deveria ser: |- B(x)->(B(x)|C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: P->Ax Q(x) |- Ax (P->Q(x)), porém deveria ser: B->Ax C(x) |- Ax (B->C(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ex P(x), Ax Ay (P(x)->Q(y)) |- Ay Q(y), porém deveria ser: Ex B(x), Ax Ay (B(x)->C(y)) |- Ay C(y).', 'Demonstração do teorema errado. A fórmula provada foi: Ex (F(x)&G(x)), Ax (H(x)->~G(x)) |- Ex (F(x)&~H(x)), porém deveria ser: Ex (B(x)&C(x)), Ax (D(x)->~C(x)) |- Ex (B(x)&~D(x)).', 'Demonstração do teorema errado. A fórmula provada foi: Ex P(x), Ax (P(x)->Q) |- Q, porém deveria ser: Ex B(x), Ax (B(x)->C) |- C.', 'Demonstração do teorema errado. A fórmula provada foi: Ax (P(x)->Q(x)), Ax (Q(x)->R(x)), Ex P(x) |- Ex R(x), porém deveria ser: Ax (B(x)->C(x)), Ax (C(x)->D(x)), Ex B(x) |- Ex D(x).', 'Demonstração do teorema errado. A fórmula provada foi: Ax P(x), Ax Q(x) |- Ax (P(x)&Q(x)), porém deveria ser: Ax B(x)&Ax C(x) |- Ax (B(x)&C(x)).']",0,0.0,
S0,PRO,gpt-oss-20b,dn,406,406,0,0,[],[],69,16.995073891625616,
S1,PRO,gpt-oss-20b,dn,406,406,0,0,[],[],95,23.39901477832512,
S2,PRO,gpt-oss-20b,dn,406,406,0,0,[],[],121,29.802955665024633,
S3,PRO,gpt-oss-20b,dn,406,406,0,0,[],[],119,29.310344827586203,
S5,PRO,gpt-oss-20b,dn,406,406,0,0,[],[],115,28.32512315270936,
C0,PRO,gpt-oss-20b,dn,406,405,1,37,"[17, 84, 139, 144, 149, 150, 153, 154, 163, 165, 166, 175, 177, 179, 185, 192, 195, 197, 200, 234, 239, 247, 253, 266, 315, 316, 328, 333, 350, 373, 383, 384, 385, 386, 387, 390, 391]","['Demonstração do teorema errado. A fórmula provada foi: ~A|A |- ~A|A, porém deveria ser: ~A|A|-A|(A->B).', 'Demonstração do teorema errado. A fórmula provada foi: A->(B->C), ~(A&B)->C |- (A->(B->C))|(~(A&B)->C), porém deveria ser: A->(B->C)|-(A&B)->C.', 'Demonstração do teorema errado. A fórmula provada foi: A |- A|B, porém deveria ser: A|-(A|B).', 'Demonstração do teorema errado. A fórmula provada foi: A |- ~A->B, porém deveria ser: A|-(~A->B).', 'Demonstração do teorema errado. A fórmula provada foi: (A&B)->C, A|~(B->C) |- A|~(B->C), porém deveria ser: (A&B)->C,A|-(B->C).', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(B->C) |- A->C, porém deveria ser: ((A->B)&(B->C))|-(A->C).', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(C->D), A&C |- B&D, porém deveria ser: (A->B)&(C->D),(A&C)|-(B&D).', 'Demonstração do teorema errado. A fórmula provada foi: A->B, A&C |- B&C, porém deveria ser: A->B,(A&C)|-(B&C).', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A, porém deveria ser: (A&B)|-A.', 'Demonstração do teorema errado. A fórmula provada foi: (A&B)->B, B->A, B |- A, porém deveria ser: ((A&B)->B)->(B->A),B|-A.', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(A->C), A |- B&C, porém deveria ser: (A->B)&(A->C),A|-(B&C).', 'Demonstração do teorema errado. A fórmula provada foi: A->(B->C), A&B |- C, porém deveria ser: A->(B->C),(A&B)|-C.', 'Demonstração do teorema errado. A fórmula provada foi: A, A->B, A->(B->C) |- C, porém deveria ser: A->B,A->(B->C),A|-C.', 'Demonstração do teorema errado. A fórmula provada foi: A&(A|B) |- A, porém deveria ser: (A&(A|B))|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->(B->C), B&A |- C, porém deveria ser: A->(B->C),(B&A)|-C.', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(B->C), A |- C, porém deveria ser: ((A->B)&(B->C)),A|-C.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, C->A |- C->A, porém deveria ser: (A->B),(C->A)|-(C->A).', 'Demonstração do teorema errado. A fórmula provada foi: (A&B)->C, A, B |- C, porém deveria ser: ((A&B)->C),A,B|-C.', 'Demonstração do teorema errado. A fórmula provada foi: A->(A->B), A |- B, porém deveria ser: (A->(A->B)),A|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, A->C |- A->(B&C), porém deveria ser: (A->B),(A->C)|-A->(B&C).', 'Demonstração do teorema errado. A fórmula provada foi: A->B, ~C->A |- ~C->B, porém deveria ser: (A->B),(~C->A)|-(~C->B).', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&~C) |- A->B, porém deveria ser: A->(B&~C),|-A->B.', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&C) |- A->C, porém deveria ser: A->(B&C),|-A->C.', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&C) |- A->(B|C), porém deveria ser: A->(B&C)|-A->B|C.', 'Demonstração do teorema errado. A fórmula provada foi: (A->B)&(C->D), A|C, ~B |- ~A, porém deveria ser: (A->B)&(C->D),A|C,~B|-C.', 'Demonstração do teorema errado. A fórmula provada foi: A, A->(B&C), B->D, C->E |- D&E, porém deveria ser: A->(B&C),B->D,C->E,A|-D&E.', 'Demonstração do teorema errado. A fórmula provada foi: A, A->(B&C), B->D |- D, porém deveria ser: A->(B&C),B->D,A|-D.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, B->C, C->D, A |- D, porém deveria ser: (A->B)&(B->C)&(C->D),A|-D.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, B->C, C->D, E->F, F->G, G->H, A|E |- D|H, porém deveria ser: (A->B)&(B->C)&(C->D),(E->F)&(F->G)&(G->H),A|E|-D|H.', 'Demonstração do teorema errado. A fórmula provada foi: A->B, B->C, C->D, A, ~D |- D&~D, porém deveria ser: (A->B)&(B->C)&(C->D),A&~D|-D&~D.', 'Demonstração do teorema errado. A fórmula provada foi: A&B, A |- B, porém deveria ser: (A&B),A|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A, A->B, B->(C&D), C->E |- E, porém deveria ser: A->B,B->(C&D),C->E,A|-E.', 'Demonstração do teorema errado. A fórmula provada foi: A&B, A |- A&B, porém deveria ser: (A&B),A|-A&B.', 'Demonstração do teorema errado. A fórmula provada foi: A&B, B |- B, porém deveria ser: (A&B),B|-A.', 'Demonstração do teorema errado. A fórmula provada foi: A->(B&C), D->(A->C), D&A |- B, porém deveria ser: A->(B&C),D->(A->C),(D&A)|-B.', 'Demonstração do teorema errado. A fórmula provada foi: A&B |- A|B, porém deveria ser: (A&B)|-A|B.', 'Demonstração do teorema errado. A fórmula provada foi: (A&B)|(C&D), A, C |- (A&B)|(C&D), porém deveria ser: (A&B)|(C&D),A,C|-((A&B)|(C&D)).']",63,15.517241379310345,
